rk,item,12 Months Ago,11 Months Ago,10 Months Ago,9 Months Ago,8 Months Ago,7 Months Ago,6 Months Ago,5 Months Ago,4 Months Ago,3 Months Ago,2 Months Ago,1 Month Ago,mtd,2019,2020,2021,2022,2023,2024 YTD
1,<b>Assets</b>,6.902424862907507e+07,7.717247392495598e+07,7.920708913354658e+07,8.037868858222482e+07,8.376888083447066e+07,8.189285575749029e+07,7.760420049105981e+07,7.90697043254049e+07,8.446062747939879e+07,9.167999259112254e+07,9.919744012080963e+07,1.0038877532628274e+08,1.192202846403063e+08,891070.2699430294,2.2113014430848625e+07,3.4752907365684694e+08,6.088672885467085e+08,9.713839913072255e+08,2.1960905996658903e+08
2,&nbsp;&nbsp;&nbsp;&nbsp;<i>Cash</i>,1.714460058914493e+07,2.220360462211169e+07,2.7977039729034115e+07,2.7977039729034115e+07,2.799218784597764e+07,2.6919384518053506e+07,1.9516747609024405e+07,1.3577308881728407e+07,1.3241994064064408e+07,1.1928706593928408e+07,1.1433953682136407e+07,1.1133953682136407e+07,9.871020890405407e+06,<nil>,<nil>,8.959749078381099e+07,7.8115549279828e+07,2.2237962594873896e+08,2.1004974572541814e+07
3,&nbsp;&nbsp;&nbsp;&nbsp;<i>Money Markets</i>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,7.432767804093101e+06,1.2970278583019018e+07,1.3018364255585011e+07,1.3080026557506396e+07,1.5423077216066651e+07,1.762616376025353e+07,1.7692317549884617e+07,<nil>,<nil>,<nil>,<nil>,6.1924514416270174e+07,3.531848131013815e+07
4,&nbsp;&nbsp;Cash & cash equivalents,1.714460058914493e+07,2.220360462211169e+07,2.7977039729034115e+07,2.7977039729034115e+07,2.799218784597764e+07,2.6919384518053506e+07,2.6949515413117487e+07,2.6547587464747403e+07,2.6260358319649395e+07,2.500873315143478e+07,2.6857030898203034e+07,2.8760117442389917e+07,2.7563338440290004e+07,<nil>,<nil>,8.959749078381099e+07,7.8115549279828e+07,2.84304140365009e+08,5.6323455882679924e+07
5,&nbsp;&nbsp;ETH,5.187958906643295e+07,3.851289227323327e+07,3.417258522750085e+07,3.537643497620063e+07,4.163504357130516e+07,4.135491190898505e+07,3.5587182144802034e+07,3.717553156824822e+07,3.880190079334004e+07,7.300872354699794e+06,8.41928471313138e+06,9.063196151926737e+06,1.2954739286203727e+07,891070.2699430294,2.2113014430848625e+07,2.5793158287303594e+08,5.307517392668806e+08,4.35676901878329e+08,2.2017935438130464e+07
6,&nbsp;&nbsp;ETH Investments,58.97349718463486,1.645597702961103e+07,1.705746417701162e+07,1.702521387699008e+07,1.4141649417187868e+07,1.3618559330451755e+07,1.5067502933140293e+07,1.5346585292409277e+07,1.939836836640935e+07,5.937038708498794e+07,6.392112450947519e+07,6.256546173196605e+07,7.870220691381252e+07,<nil>,<nil>,<nil>,<nil>,2.5140294906388742e+08,1.4126766864577857e+08
7,<b>Liabilities</b>,3.4899722549505755e+07,3.802915216979063e+07,3.798955760716008e+07,3.630050312423569e+07,3.6369405545617945e+07,3.3834281496997796e+07,2.9686932542398788e+07,2.920987036447148e+07,3.1081781208940573e+07,3.4258417749438144e+07,3.72129884710763e+07,3.633366884930453e+07,4.652297878094794e+07,726819.0089716907,1.243550880549955e+07,1.595557658175618e+08,3.528507119987915e+08,4.136025394670414e+08,8.285664763025247e+07
8,&nbsp;&nbsp;Unearned earnings,3.4899722549505755e+07,3.802915216979063e+07,3.798955760716008e+07,3.630050312423569e+07,3.6369405545617945e+07,3.3834281496997796e+07,2.9686932542398788e+07,2.920987036447148e+07,3.1081781208940573e+07,3.4258417749438144e+07,3.72129884710763e+07,3.633366884930453e+07,4.652297878094794e+07,726819.0089716907,1.243550880549955e+07,1.595557658175618e+08,3.528507119987915e+08,4.136025394670414e+08,8.285664763025247e+07
9,<b>Capital buffer</b>,3.4124526079569325e+07,3.9143321755165346e+07,4.1217531526386485e+07,4.407818545798911e+07,4.73994752888527e+07,4.8058574260492496e+07,4.791726794866104e+07,4.985983396093343e+07,5.337884627045821e+07,5.7421574841684364e+07,6.198445164973327e+07,6.405510647697814e+07,7.26973058593582e+07,164251.26097133843,9.677505625349078e+06,1.879733078392851e+08,2.5601657654791692e+08,5.577814518401841e+08,1.3675241233633634e+08
10,&nbsp;&nbsp;Issued as payment,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,3.758335561652668e+06,4.212822561652668e+06,4.212822561652668e+06,4.212822561652668e+06,4.212822561652668e+06,<nil>,<nil>,<nil>,2.825319126287435e+07,4.5959825739832014e+07,8.425645123305336e+06
