name,query_Id,execution_id,execution_state,submitted_at,started_at,completed_at,execution_time,pending_time,rows,report_date
ens_end_assets,3451107,01HQBK9Z2PDKYQWM8FM3NMZE1D,QUERY_STATE_COMPLETED,2024-02-23T18:23:10.422666Z,2024-02-23T18:23:10.956458991Z,2024-02-23T18:23:12.146021721Z,1.189,0.533,238,2024-02-23T22:37:33.259999Z
ens_mon_cash_in_comp,3440396,01HQBK7DV0DNCXQPM8N06G387F,QUERY_STATE_COMPLETED,2024-02-23T18:21:47.232673Z,2024-02-23T18:22:44.215412373Z,2024-02-23T18:22:44.554721198Z,0.339,56.982,1,2024-02-23T22:37:33.857034Z
ens_mon_rev_comp,3440279,01HQBK75GQ9HGPBS5Z5SYKWPVP,QUERY_STATE_COMPLETED,2024-02-23T18:21:38.712297Z,2024-02-23T18:22:44.873181304Z,2024-02-23T18:22:47.369795843Z,2.496,66.16,1,2024-02-23T22:37:34.449727Z
ens_pnl,3440428,01HQBK94DAT665ESW4V0JZWAG4,QUERY_STATE_COMPLETED,2024-02-23T18:22:43.115437Z,2024-02-23T18:22:43.46979529Z,2024-02-23T18:22:44.585909254Z,1.116,0.354,36,2024-02-23T22:37:35.040044Z
ens_cash_inflow,3440372,01HQBK6PZZ6BFMBJXZDGPYVCGV,QUERY_STATE_COMPLETED,2024-02-23T18:21:23.839819Z,2024-02-23T18:22:44.205664057Z,2024-02-23T18:22:44.55219088Z,0.346,80.365,13,2024-02-23T22:37:35.736318Z
ens_reserves,3450989,01HQBKGB09MCESX4D2WS86Z0JB,QUERY_STATE_COMPLETED,2024-02-23T18:26:39.241985Z,2024-02-23T18:26:40.433959124Z,2024-02-23T18:26:47.206035585Z,6.772,1.191,72,2024-02-23T22:37:36.341186Z
ens_revenues,3440193,01HQBK6BC9ETNWV8K3KXBDMW1C,QUERY_STATE_COMPLETED,2024-02-23T18:21:11.945588Z,2024-02-23T18:22:44.883413668Z,2024-02-23T18:22:47.15738512Z,2.273,92.937,36,2024-02-23T22:37:37.135752Z
ens_balance_sheet,3452083,01HQBKB8B6MZWB2M8VZM821CFY,QUERY_STATE_COMPLETED,2024-02-23T18:23:52.67902Z,2024-02-23T18:23:53.278873526Z,2024-02-23T18:23:53.934055822Z,0.655,0.599,14,2024-02-23T22:37:37.795856Z
ens_opex,3440761,01HQBK7V2X8JTGXZG71RFP438R,QUERY_STATE_COMPLETED,2024-02-23T18:22:00.79812Z,2024-02-23T18:22:01.148120471Z,2024-02-23T18:22:03.047989247Z,1.899,0.35,34,2024-02-23T22:37:38.388063Z
ens_end_pnl,3451503,01HQBKA8WCR7DV5MCA2ZPB0MB4,QUERY_STATE_COMPLETED,2024-02-23T18:23:20.461132Z,2024-02-23T18:23:20.833795041Z,2024-02-23T18:23:21.134173441Z,0.3,0.372,42,2024-02-23T22:37:38.975341Z
ens_income_statement,3454898,01HQBKC1NNMGR41G1GZEXT2VXV,QUERY_STATE_COMPLETED,2024-02-23T18:24:18.614245Z,2024-02-23T18:24:19.730820499Z,2024-02-23T18:24:21.006797197Z,1.275,1.116,16,2024-02-23T22:37:39.675735Z
ens_wallet_balances,3455226,01HQBKEF2TRA9E3GWW13H310XG,QUERY_STATE_COMPLETED,2024-02-23T18:25:37.883251Z,2024-02-23T18:25:39.245523504Z,2024-02-23T18:30:31.812427709Z,292.566,1.362,9,2024-02-23T22:37:40.464643Z
