name,query_Id,execution_id,execution_state,submitted_at,started_at,completed_at,execution_time,pending_time,rows,report_date
ens_end_assets,3451107,01HQF0TYK4KD1DDKWVAR9NH3EP,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.76504Z,2024-02-25T02:17:22.432780194Z,2024-02-25T02:17:23.379714566Z,0.946,0.667,252,2024-02-25T02:51:44.749767Z
ens_mon_cash_in_comp,3440396,01HQF0TYHX9CTQ7YQS2P7HS24M,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.725936Z,2024-02-25T02:18:55.454175842Z,2024-02-25T02:18:55.766799219Z,0.312,93.728,1,2024-02-25T02:51:45.568775Z
ens_mon_rev_comp,3440279,01HQF0TYH8ABJKXMY6Y3NZ859Q,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.705585Z,2024-02-25T02:18:56.028099263Z,2024-02-25T02:19:09.480391142Z,13.452,94.322,1,2024-02-25T02:51:46.393947Z
ens_pnl,3440428,01HQF0TYJ7ZQFY0CKG3X316KPY,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.736588Z,2024-02-25T02:17:22.28085372Z,2024-02-25T02:17:24.258338588Z,1.977,0.544,36,2024-02-25T02:51:47.308868Z
ens_cash_inflow,3440372,01HQF0TYHJF6MEAJAD0VRHMGGY,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.71541Z,2024-02-25T02:18:55.440408725Z,2024-02-25T02:18:55.740127213Z,0.299,93.724,13,2024-02-25T02:51:48.191486Z
ens_reserves,3450989,01HQF0TYJTKNFYBXC841MZMC4V,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.755422Z,2024-02-25T02:17:22.14736719Z,2024-02-25T02:17:24.18126603Z,2.033,0.391,72,2024-02-25T02:51:49.150718Z
ens_revenues,3440193,01HQF0TYH06TD6Y2TG67YKXZBA,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.696915Z,2024-02-25T02:18:56.027881472Z,2024-02-25T02:19:03.691947754Z,7.664,94.33,36,2024-02-25T02:51:50.175990Z
ens_balance_sheet,3452083,01HQF0TYKQTGRWNM3WFPBX78W4,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.783931Z,2024-02-25T02:17:22.523427863Z,2024-02-25T02:17:23.353424796Z,0.829,0.739,15,2024-02-25T02:51:51.019364Z
ens_opex,3440761,01HQF0TYJHBHQ0VAAWW21NEYW3,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.745839Z,2024-02-25T02:17:22.157441779Z,2024-02-25T02:17:23.042062792Z,0.884,0.411,34,2024-02-25T02:51:51.916060Z
ens_end_pnl,3451503,01HQF0TYKDTKRCC0QCX294H964,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.773943Z,2024-02-25T02:17:22.162117036Z,2024-02-25T02:17:28.053329494Z,5.891,0.388,42,2024-02-25T02:51:52.942033Z
ens_income_statement,3454898,01HQF0TYM2VSPTGA4PKX0FXCB7,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.795316Z,2024-02-25T02:17:22.984284881Z,2024-02-25T02:17:29.862789453Z,6.878,1.188,16,2024-02-25T02:51:53.759449Z
ens_wallet_balances,3455226,01HQF0TYMBH677Z8RVGKR7XE0G,QUERY_STATE_COMPLETED,2024-02-25T02:17:21.804644Z,2024-02-25T02:17:23.573521493Z,2024-02-25T02:19:35.348676509Z,131.775,1.768,9,2024-02-25T02:51:54.560556Z
ens_end_curve_steth_strat,3457717,01HQE6AKTP2J6HQ4QSJ4FXBB9H,QUERY_STATE_COMPLETED,2024-02-24T18:34:03.478695Z,2024-02-24T18:34:04.892529813Z,2024-02-24T18:34:40.352494415Z,35.459,1.413,11348,2024-02-25T02:51:55.603340Z
ens_acc_rev,3457726,01HQE6KX00ZEBW6X8HP6KZCJTC,QUERY_STATE_COMPLETED,2024-02-24T18:39:07.777215Z,2024-02-24T18:39:09.467528861Z,2024-02-24T18:41:12.725451126Z,123.257,1.69,53319,2024-02-25T02:51:57.241615Z
ens_acc_exp,3457730,01HQE6PMAC1V7STN0Z3H8MMBT7,QUERY_STATE_COMPLETED,2024-02-24T18:40:37.196772Z,2024-02-24T18:42:38.767971318Z,2024-02-24T18:48:51.543911596Z,372.775,121.571,722,2024-02-25T02:51:58.161934Z
ens_acc_assets_m2m,3457733,01HQBK3MYBWJCTT0R60BNQ8P96,QUERY_STATE_COMPLETED,2024-02-23T18:19:43.435897Z,2024-02-23T18:19:45.148840038Z,2024-02-23T18:21:27.983795572Z,102.834,1.712,19258,2024-02-25T02:51:58.981732Z
ens_acc_transfers,3457740,01HQE694ZHVKDNFWXTA8C0CB4E,QUERY_STATE_COMPLETED,2024-02-24T18:33:15.505858Z,2024-02-24T18:36:32.380929528Z,2024-02-24T18:44:42.910084048Z,490.529,196.875,54,2024-02-25T02:51:59.801283Z
ens_acc_swaps,3457742,01HQE6QT39CJSJ5RZCKTNX9C7T,QUERY_STATE_COMPLETED,2024-02-24T18:41:15.882206Z,2024-02-24T18:42:38.436550912Z,2024-02-24T18:49:33.336288145Z,414.899,82.554,256,2024-02-25T02:52:00.656600Z
ens_end_aura_wsteth_strat,3457752,01HQE6WCPQ9C9Y9DKQTXKX5BJP,QUERY_STATE_COMPLETED,2024-02-24T18:43:46.007308Z,2024-02-24T18:43:47.51008917Z,2024-02-24T18:44:50.374579793Z,62.864,1.502,911,2024-02-25T02:52:01.431912Z
ens_end_univ3_seth2_weth_strat,3457756,01HQBFH89T8DDESQD1E9Q4AXSR,QUERY_STATE_COMPLETED,2024-02-23T17:17:14.939744Z,2024-02-23T17:17:17.175024668Z,2024-02-23T17:17:33.303114088Z,16.128,2.235,1552,2024-02-25T02:52:02.099868Z
ens_end_steth_strat,3457763,01HQBFPSGYCNRP07P5DG3FTHH2,QUERY_STATE_COMPLETED,2024-02-23T17:20:16.415829Z,2024-02-23T17:20:17.796584049Z,2024-02-23T17:21:31.904501132Z,74.107,1.38,1356,2024-02-25T02:52:02.871984Z
ens_end_aura_reth_strat,3457765,01HQBGV9PSZR4BPHX33EXRJYW3,QUERY_STATE_COMPLETED,2024-02-23T17:40:12.635123Z,2024-02-23T17:40:20.25684266Z,2024-02-23T17:41:20.325603168Z,60.068,7.621,1300,2024-02-25T02:52:03.590191Z
ens_end_dsr_strat,3457769,01HQBFV8ZZWDHH76P5MZDMRECH,QUERY_STATE_COMPLETED,2024-02-23T17:22:43.328691Z,2024-02-23T17:22:44.593278492Z,2024-02-23T17:22:58.747839728Z,14.154,1.264,52882,2024-02-25T02:52:04.408878Z
ens_end_reth_strat,3457772,01HQBFXT1N1HCDJT79PQBK6XAJ,QUERY_STATE_COMPLETED,2024-02-23T17:24:06.325734Z,2024-02-23T17:24:07.675920771Z,2024-02-23T17:25:25.389460749Z,77.713,1.35,776,2024-02-25T02:52:05.194288Z
ens_end_comp_v3_usdc_strat,3457774,01HQE6XV8R275EEMK8119X8XJ8,QUERY_STATE_COMPLETED,2024-02-24T18:44:33.688373Z,2024-02-24T18:44:35.097782571Z,2024-02-24T18:44:43.755301306Z,8.657,1.409,320,2024-02-25T02:52:06.149362Z
ens_end_ankreth_strat,3457775,01HQE6VDGBPGK2D0BKW23SGG7X,QUERY_STATE_COMPLETED,2024-02-24T18:43:14.059121Z,2024-02-24T18:43:15.337515143Z,2024-02-24T18:44:36.543826689Z,81.206,1.278,402,2024-02-25T02:52:06.895125Z
ens_end_ethx_strat,3457779,01HQE6TVWEP1C282QH6T548A8F,QUERY_STATE_COMPLETED,2024-02-24T18:42:56.014273Z,2024-02-24T18:42:57.398905662Z,2024-02-24T18:43:39.440396129Z,42.041,1.384,386,2024-02-25T02:52:07.694593Z
ens_end_aethweth_strat,3457785,01HQE6YCVE31MWCRF5X7BW1CGM,QUERY_STATE_COMPLETED,2024-02-24T18:44:51.694812Z,2024-02-24T18:44:52.997788685Z,2024-02-24T18:45:28.491495128Z,35.493,1.302,39870,2024-02-25T02:52:08.362527Z
ens_end_spweth_strat,3457788,01HQE6X89A37YFPJDWFR63VF6Q,QUERY_STATE_COMPLETED,2024-02-24T18:44:14.250309Z,2024-02-24T18:44:15.552622486Z,2024-02-24T18:44:36.54369401Z,20.991,1.302,8028,2024-02-25T02:52:09.529431Z
ens_end_plugs,3457789,01HQBJG48M66WWVN5T90ZB6Y7P,QUERY_STATE_COMPLETED,2024-02-23T18:09:03.765148Z,2024-02-23T18:09:04.991455653Z,2024-02-23T18:09:05.714343381Z,0.722,1.226,6,2024-02-25T02:52:10.314434Z
ens_end_comp_v3_weth_strat,3457790,01HQE6RMDM0S1BBBSNJYR9H8NW,QUERY_STATE_COMPLETED,2024-02-24T18:41:42.836818Z,2024-02-24T18:41:44.227826905Z,2024-02-24T18:41:54.05147309Z,9.823,1.391,206,2024-02-25T02:52:11.106573Z
ens_acc_main,3457610,01HQE7CQE1VA4A6HKDREW78W4C,QUERY_STATE_COMPLETED,2024-02-24T18:52:41.282062Z,2024-02-24T18:52:42.659162591Z,2024-02-24T18:52:47.522272987Z,4.863,1.377,193828,2024-02-25T02:52:13.830642Z
